	variable	d	CuedHalf	Alignment	Congruency	participant
230	Incongruent_Misligned_Bottom	0.35585038623170656	Bottom	MisAligned	Incongruent	7
231	Incongruent_Misligned_Bottom	0.7135189389808331	Bottom	MisAligned	Incongruent	8
232	Incongruent_Misligned_Bottom	-0.21243965963491068	Bottom	MisAligned	Incongruent	9
233	Incongruent_Misligned_Bottom	0.8001510970511558	Bottom	MisAligned	Incongruent	10
234	Incongruent_Misligned_Bottom	0.14399793587259896	Bottom	MisAligned	Incongruent	11
235	Incongruent_Misligned_Bottom	1.3489795003921634	Bottom	MisAligned	Incongruent	12
236	Incongruent_Misligned_Bottom	0.12952093769158277	Bottom	MisAligned	Incongruent	13
237	Incongruent_Misligned_Bottom	-0.3226136884643539	Bottom	MisAligned	Incongruent	14
238	Incongruent_Misligned_Bottom	-0.6297536795053952	Bottom	MisAligned	Incongruent	15
239	Incongruent_Misligned_Bottom	1.209177216530349	Bottom	MisAligned	Incongruent	16
240	Incongruent_Misligned_Bottom	-2.7153790109005236	Bottom	MisAligned	Incongruent	17
241	Incongruent_Misligned_Bottom	0.4424655294085921	Bottom	MisAligned	Incongruent	18
242	Incongruent_Misligned_Bottom	-0.24386110753043588	Bottom	MisAligned	Incongruent	19
243	Incongruent_Misligned_Bottom	1.4072129123996746	Bottom	MisAligned	Incongruent	20
244	Incongruent_Misligned_Bottom	0.19620204013477535	Bottom	MisAligned	Incongruent	21
245	Incongruent_Misligned_Bottom	0.9972960690166939	Bottom	MisAligned	Incongruent	22
246	Incongruent_Misligned_Bottom	0.6297536795053952	Bottom	MisAligned	Incongruent	23
247	Incongruent_Misligned_Bottom	2.1231727991175147	Bottom	MisAligned	Incongruent	24
248	Incongruent_Misligned_Bottom	1.956041315740682	Bottom	MisAligned	Incongruent	25
249	Incongruent_Misligned_Bottom	0.5719864671001749	Bottom	MisAligned	Incongruent	26
250	Incongruent_Misligned_Bottom	0.0	Bottom	MisAligned	Incongruent	27
251	Incongruent_Misligned_Bottom	0.9931291141604568	Bottom	MisAligned	Incongruent	28
252	Incongruent_Misligned_Bottom	0.4853713239232893	Bottom	MisAligned	Incongruent	29
253	Incongruent_Misligned_Bottom	0.1254135558864277	Bottom	MisAligned	Incongruent	30
254	Incongruent_Misligned_Bottom	-0.46169373476482684	Bottom	MisAligned	Incongruent	31
255	Incongruent_Misligned_Bottom	1.27981553906851	Bottom	MisAligned	Incongruent	32
