	variable	d	CuedHalf	Alignment	Congruency	participant	ProbabilityCue
244	Incongruent_Misligned_Bottom	-1.2897804926295895	Bottom	MisAligned	Incongruent	21	25cueTarget
245	Incongruent_Misligned_Bottom	0.1671314833768326	Bottom	MisAligned	Incongruent	22	25cueTarget
246	Incongruent_Misligned_Bottom	1.1988902629041225	Bottom	MisAligned	Incongruent	23	25cueTarget
247	Incongruent_Misligned_Bottom	-0.5488284033410076	Bottom	MisAligned	Incongruent	24	25cueTarget
248	Incongruent_Misligned_Bottom	0.0	Bottom	MisAligned	Incongruent	25	25cueTarget
249	Incongruent_Misligned_Bottom	-0.289169283788514	Bottom	MisAligned	Incongruent	26	25cueTarget
250	Incongruent_Misligned_Bottom	1.956041315740682	Bottom	MisAligned	Incongruent	27	25cueTarget
251	Incongruent_Misligned_Bottom	1.094968336708714	Bottom	MisAligned	Incongruent	28	25cueTarget
252	Incongruent_Misligned_Bottom	-1.8780546230667041	Bottom	MisAligned	Incongruent	29	25cueTarget
253	Incongruent_Misligned_Bottom	1.094968336708714	Bottom	MisAligned	Incongruent	30	25cueTarget
254	Incongruent_Misligned_Bottom	-0.39873916585296654	Bottom	MisAligned	Incongruent	31	25cueTarget
255	Incongruent_Misligned_Bottom	1.226941699980482	Bottom	MisAligned	Incongruent	32	25cueTarget
0	Congruent_Aligned_Top	4.07531736342086	Top	Aligned	Congruent	1	75cueTarget
1	Congruent_Aligned_Top	2.9264051924960723	Top	Aligned	Congruent	2	75cueTarget
2	Congruent_Aligned_Top	2.342707179616939	Top	Aligned	Congruent	3	75cueTarget
3	Congruent_Aligned_Top	0.46346584099832633	Top	Aligned	Congruent	4	75cueTarget
4	Congruent_Aligned_Top	3.629131180229008	Top	Aligned	Congruent	5	75cueTarget
5	Congruent_Aligned_Top	2.7366494274597795	Top	Aligned	Congruent	6	75cueTarget
6	Congruent_Aligned_Top	2.4518311218528717	Top	Aligned	Congruent	7	75cueTarget
7	Congruent_Aligned_Top	3.00217189208805	Top	Aligned	Congruent	8	75cueTarget
8	Congruent_Aligned_Top	1.7122788648400578	Top	Aligned	Congruent	9	75cueTarget
9	Congruent_Aligned_Top	2.2282495611751836	Top	Aligned	Congruent	10	75cueTarget
10	Congruent_Aligned_Top	2.9696664677578974	Top	Aligned	Congruent	11	75cueTarget
11	Congruent_Aligned_Top	2.40382073768789	Top	Aligned	Congruent	12	75cueTarget
12	Congruent_Aligned_Top	3.772898861136455	Top	Aligned	Congruent	13	75cueTarget
13	Congruent_Aligned_Top	2.31798495503839	Top	Aligned	Congruent	14	75cueTarget
14	Congruent_Aligned_Top	3.5229542931495472	Top	Aligned	Congruent	15	75cueTarget
15	Congruent_Aligned_Top	2.537519335537815	Top	Aligned	Congruent	16	75cueTarget
16	Congruent_Aligned_Top	1.6225434709768514	Top	Aligned	Congruent	17	75cueTarget
17	Congruent_Aligned_Top	2.765988254201276	Top	Aligned	Congruent	18	75cueTarget
18	Congruent_Aligned_Top	3.4095967997295835	Top	Aligned	Congruent	19	75cueTarget
19	Congruent_Aligned_Top	2.782637511588625	Top	Aligned	Congruent	20	75cueTarget
20	Congruent_Aligned_Top	1.4671606887892472	Top	Aligned	Congruent	21	75cueTarget
21	Congruent_Aligned_Top	2.147205006130575	Top	Aligned	Congruent	22	75cueTarget
22	Congruent_Aligned_Top	3.0257308074973084	Top	Aligned	Congruent	23	75cueTarget
23	Congruent_Aligned_Top	1.0095152383610198	Top	Aligned	Congruent	24	75cueTarget
24	Congruent_Aligned_Top	2.2489731316463013	Top	Aligned	Congruent	25	75cueTarget
25	Congruent_Aligned_Top	1.8199337648835638	Top	Aligned	Congruent	26	75cueTarget
26	Congruent_Aligned_Top	2.07558092624693	Top	Aligned	Congruent	27	75cueTarget
27	Congruent_Aligned_Top	2.40382073768789	Top	Aligned	Congruent	28	75cueTarget
28	Congruent_Aligned_Top	3.095466800286684	Top	Aligned	Congruent	29	75cueTarget
29	Congruent_Aligned_Top	2.0650519409343744	Top	Aligned	Congruent	30	75cueTarget
30	Congruent_Aligned_Top	1.9781263745334685	Top	Aligned	Congruent	31	75cueTarget
31	Congruent_Aligned_Top	2.7556252435882573	Top	Aligned	Congruent	32	75cueTarget
32	Congruent_Misligned_Top	3.145939572995497	Top	MisAligned	Congruent	1	75cueTarget
33	Congruent_Misligned_Top	1.9855484540392676	Top	MisAligned	Congruent	2	75cueTarget
34	Congruent_Misligned_Top	0.9540808569788871	Top	MisAligned	Congruent	3	75cueTarget
35	Congruent_Misligned_Top	0.10498756767155659	Top	MisAligned	Congruent	4	75cueTarget
36	Congruent_Misligned_Top	3.0257308074973084	Top	MisAligned	Congruent	5	75cueTarget
37	Congruent_Misligned_Top	1.8982007300872719	Top	MisAligned	Congruent	6	75cueTarget
38	Congruent_Misligned_Top	2.211696968092112	Top	MisAligned	Congruent	7	75cueTarget
39	Congruent_Misligned_Top	2.6812870164452622	Top	MisAligned	Congruent	8	75cueTarget
40	Congruent_Misligned_Top	1.4217538559013576	Top	MisAligned	Congruent	9	75cueTarget
41	Congruent_Misligned_Top	2.07558092624693	Top	MisAligned	Congruent	10	75cueTarget
42	Congruent_Misligned_Top	1.797823784303923	Top	MisAligned	Congruent	11	75cueTarget
43	Congruent_Misligned_Top	2.6174150112056886	Top	MisAligned	Congruent	12	75cueTarget
44	Congruent_Misligned_Top	3.145939572995497	Top	MisAligned	Congruent	13	75cueTarget
45	Congruent_Misligned_Top	2.2246153606735524	Top	MisAligned	Congruent	14	75cueTarget
46	Congruent_Misligned_Top	3.095466800286684	Top	MisAligned	Congruent	15	75cueTarget
47	Congruent_Misligned_Top	2.4247830724448813	Top	MisAligned	Congruent	16	75cueTarget
